OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2017-066A","USA 279","42949","US","1436.15","3.67","35799","35776","","0","2017-10-15",""
"2017-058D","CZ-2C R/B","42948","PRC","97.31","34.93","676","584","LARGE","0","2017-09-29",""
"2017-058C","YAOGAN-30 C","42947","PRC","96.66","35.00","603","594","LARGE","0","2017-09-29",""
"2017-058B","YAOGAN-30 B","42946","PRC","96.66","35.00","600","597","LARGE","0","2017-09-29",""
"2017-058A","YAOGAN-30 A","42945","PRC","96.66","35.00","601","596","LARGE","0","2017-09-29",""
"2017-057C","BREEZE-M DEB (TANK)","42944","CIS","274.97","49.66","14953","305","LARGE","0","2017-09-28",""
"2017-057C","BREEZE-M DEB (TANK)","42944","CIS","274.97","49.66","14953","304","LARGE","0","2017-09-28",""
"2017-057B","BREEZE-M R/B","42943","CIS","670.01","23.43","34470","3501","LARGE","0","2017-09-28",""
"2017-057A","ASIASAT 9","42942","AC","1436.13","0.00","35797","35777","LARGE","0","2017-09-28",""
"2017-056A","USA 278","42941","US","717.79","63.67","39106","1249","","0","2017-09-24",""
"2017-055B","FREGAT R/B","42940","CIS","693.46","64.28","19863","19286","LARGE","0","2017-09-22",""
"2017-055A","COSMOS 2522 (GLONASS)","42939","CIS","675.73","64.34","19150","19109","LARGE","0","2017-09-22",""
"2017-053C","BREEZE-M DEB (TANK)","42936","CIS","273.69","49.49","14863","308","LARGE","0","2017-09-11",""
"2017-053C","BREEZE-M DEB (TANK)","42936","CIS","273.69","49.49","14863","307","LARGE","0","2017-09-11",""
"2017-053B","BREEZE-M R/B","42935","CIS","657.12","23.18","33584","3735","LARGE","0","2017-09-11",""
"2017-053A","AMAZONAS 5","42934","SPN","1436.13","0.03","35797","35777","LARGE","0","2017-09-11",""
"2017-053A","AMAZONAS 5","42934","SPN","1436.09","0.03","35797","35776","LARGE","0","2017-09-11",""
"2017-052B","FALCON 9 R/B","42933","US","","","","","","0","2017-09-07","NO ELEMENTS AVAILABLE"
"2017-052A","OTV 5 (USA 277)","42932","US","","","","","","0","2017-09-07","NO ELEMENTS AVAILABLE"
"2017-050G","MINOTAUR R/B","42927","US","94.22","24.53","580","381","LARGE","0","2017-08-26",""
"2017-050E","MINOTAUR R/B","42925","US","96.60","0.05","603","589","LARGE","0","2017-08-26",""
"2017-050B","MINOTAUR DEB","42922","US","93.95","24.50","555","380","MEDIUM","0","2017-08-26",""
"2017-050A","ORS 5 SENSORSAT","42921","US","96.56","0.05","603","585","MEDIUM","0","2017-08-26",""
"2017-049A","FORMOSAT-5","42920","ROC","99.25","98.30","730","716","LARGE","0","2017-08-24",""
"2017-048B","H-2A R/B","42918","JPN","621.02","20.24","35169","298","LARGE","0","2017-08-19",""
"2017-048B","H-2A R/B","42918","JPN","621.02","20.23","35169","298","LARGE","0","2017-08-19",""
"2017-048A","QZS-3","42917","JPN","1436.16","0.06","35798","35778","LARGE","0","2017-08-19",""
"2017-048A","QZS-3","42917","JPN","1436.16","0.06","35797","35778","LARGE","0","2017-08-19",""
"2017-047B","ATLAS 5 CENTAUR R/B","42916","US","696.92","25.11","34948","4372","LARGE","0","2017-08-18",""
"2017-047A","TDRS 13","42915","US","1436.11","5.56","35861","35713","LARGE","0","2017-08-18",""
"2017-046C","BREEZE-M R/B","42909","CIS","1594.12","2.64","41898","35753","SMALL","0","2017-08-16",""
"2017-046B","BREEZE-M DEB (TANK)","42908","CIS","625.46","48.50","35147","550","LARGE","0","2017-08-16",""
